ticker,issuer,policy_relevance,sample_decision,stage2_group,confidence,manual_confidence_score,sample_inclusion_weight,primary_mechanism,secondary_mechanism,ecosystem_role,subsidy_exposure_primary_flag,subsidy_exposure_secondary_flag,subsidy_exposure_manual_weight,subsidy_exposure_confidence_weighted,subsidy_exposure_stage2_input_weight,compliance_exposure_primary_flag,compliance_exposure_secondary_flag,compliance_exposure_manual_weight,compliance_exposure_confidence_weighted,compliance_exposure_stage2_input_weight,credit_market_exposure_primary_flag,credit_market_exposure_secondary_flag,credit_market_exposure_manual_weight,credit_market_exposure_confidence_weighted,credit_market_exposure_stage2_input_weight,demand_pull_exposure_primary_flag,demand_pull_exposure_secondary_flag,demand_pull_exposure_manual_weight,demand_pull_exposure_confidence_weighted,demand_pull_exposure_stage2_input_weight
APD,"Air Products and Chemicals, Inc.",adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,demand_pull_exposure,compliance_exposure,boundary_hydrogen_transition_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51
BP,BP p.l.c.,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_saf_projects,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
CVE,Cenovus Energy Inc.,adjacent,edge,boundary_spillover_sample,medium_low,0.55,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_oil_sands_platform,0,0,0.0,0.0,0.0,1,0,1.0,0.55,0.33,0,0,0.0,0.0,0.0,0,1,0.5,0.275,0.165
CVI,"CVR Energy, Inc.",adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,compliance_exposure,demand_pull_exposure,boundary_refiner_with_renewable_fuels_and_rfs_obligations,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255
CVX,Chevron Corporation,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_renewable_fuels,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
DK,"Delek US Holdings, Inc.",adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,compliance_exposure,demand_pull_exposure,boundary_refiner_with_idled_biodiesel_assets,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21
EC,Ecopetrol S.A.,adjacent,edge,boundary_spillover_sample,medium_low,0.55,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_energy_transition_platform,0,0,0.0,0.0,0.0,1,0,1.0,0.55,0.33,0,0,0.0,0.0,0.0,0,1,0.5,0.275,0.165
EQNR,Equinor ASA,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,subsidy_exposure,adjacent_integrated_major_with_low_carbon_business,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
GIII,ReGen III Corp.,adjacent,edge,boundary_spillover_sample,low,0.4,0.6,demand_pull_exposure,compliance_exposure,adjacent_used_oil_recycling_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.2,0.12,0,0,0.0,0.0,0.0,1,0,1.0,0.4,0.24
GLPEY,"Galp Energia, SGPS, S.A.",adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_refiner_building_saf_biodiesel_capacity,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
IMO,Imperial Oil Limited,adjacent,edge,boundary_spillover_sample,medium_low,0.55,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_with_renewable_diesel_reference,0,0,0.0,0.0,0.0,1,0,1.0,0.55,0.33,0,0,0.0,0.0,0.0,0,1,0.5,0.275,0.165
LIN,Linde plc,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,demand_pull_exposure,compliance_exposure,boundary_industrial_gases_hydrogen_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51
LODE,Comstock Inc.,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,subsidy_exposure,demand_pull_exposure,adjacent_cellulosic_fuels_and_saf_developer,1,0,1.0,0.85,0.51,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255
MMEX,MMEX Resources Corporation,adjacent,edge,boundary_spillover_sample,low,0.4,0.6,subsidy_exposure,demand_pull_exposure,adjacent_clean_fuels_infrastructure_developer,1,0,1.0,0.4,0.24,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.2,0.12
MPC,Marathon Petroleum Corporation,adjacent,edge,boundary_spillover_sample,high,1.0,0.6,compliance_exposure,credit_market_exposure,boundary_refiner_with_large_renewable_diesel_credit_stack,0,0,0.0,0.0,0.0,1,0,1.0,1.0,0.6,0,1,0.5,0.5,0.3,0,0,0.0,0.0,0.0
NEU,NewMarket Corporation,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,none_or_weak,adjacent_fuel_additives_supplier,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
PARR,"Par Pacific Holdings, Inc.",adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_optional_sale,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0
PBF,PBF Energy Inc.,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_lcfs_trading_links,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0
PBR,Petróleo Brasileiro S.A. - Petrobras,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_renewable_fuel_content_and_saf_pathway,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
PCCYF,PetroChina Company Limited,adjacent,edge,boundary_spillover_sample,low,0.4,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_hydrogen_transition_language,0,0,0.0,0.0,0.0,0,1,0.5,0.2,0.12,0,0,0.0,0.0,0.0,1,0,1.0,0.4,0.24
PSX,Phillips 66,adjacent,edge,boundary_spillover_sample,high,1.0,0.6,demand_pull_exposure,compliance_exposure,boundary_refiner_with_dedicated_renewable_fuels_segment,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.3,0,0,0.0,0.0,0.0,1,0,1.0,1.0,0.6
SU,Suncor Energy Inc.,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,compliance_exposure,demand_pull_exposure,adjacent_integrated_major_with_renewable_fuels_investments,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21
TTE,TotalEnergies SE,adjacent,edge,boundary_spillover_sample,medium_high,0.85,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_saf_and_biorefinery_buildout,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.255,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.51
XOM,Exxon Mobil Corporation,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_lower_emission_fuels_platform,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
YPF,YPF Sociedad Anónima,adjacent,edge,boundary_spillover_sample,medium,0.7,0.6,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_new_energies_and_saf_optionality,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.21,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.42
ALTO,"Alto Ingredients, Inc.",core,keep,main_operating_sample,medium_high,0.85,1.0,demand_pull_exposure,subsidy_exposure,core_low_carbon_fuel_tax_credit_player,0,1,0.5,0.425,0.425,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.85
AMTX,"Aemetis, Inc.",core,keep,main_operating_sample,high,1.0,1.0,credit_market_exposure,compliance_exposure,core_low_carbon_fuel_credit_linked_producer,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.5,1,0,1.0,1.0,1.0,0,0,0.0,0.0,0.0
CLMT,"Calumet, Inc.",core,keep,main_operating_sample,medium,0.7,1.0,subsidy_exposure,demand_pull_exposure,core_saf_renewable_diesel_producer,1,0,1.0,0.7,0.7,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.35
DINO,HF Sinclair Corporation,core,keep,main_operating_sample,medium_high,0.85,1.0,demand_pull_exposure,compliance_exposure,core_refining_plus_renewable_diesel_operator,0,0,0.0,0.0,0.0,0,1,0.5,0.425,0.425,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.85
FF,FutureFuel Corp.,core,keep,main_operating_sample,medium_high,0.85,1.0,subsidy_exposure,compliance_exposure,core_biodiesel_specialty_chemicals_mix,1,0,1.0,0.85,0.85,0,1,0.5,0.425,0.425,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
GEVO,"Gevo, Inc.",core,keep,main_operating_sample,high,1.0,1.0,subsidy_exposure,demand_pull_exposure,core_saf_developer,1,0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.5
GPRE,Green Plains Inc.,core,keep,main_operating_sample,high,1.0,1.0,credit_market_exposure,demand_pull_exposure,core_ethanol_biorefining_platform,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,0,1,0.5,0.5,0.5
HEOL,"Highwater Ethanol, LLC",core,keep,main_operating_sample,medium,0.7,1.0,demand_pull_exposure,credit_market_exposure,core_ethanol_producer,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.35,1,0,1.0,0.7,0.7
REX,REX American Resources Corporation,core,keep,main_operating_sample,medium_high,0.85,1.0,credit_market_exposure,demand_pull_exposure,core_ethanol_investor_operator,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1.0,0.85,0.85,0,1,0.5,0.425,0.425
VLO,Valero Energy Corporation,core,keep,main_operating_sample,high,1.0,1.0,compliance_exposure,demand_pull_exposure,core_refining_renewable_diesel_ethanol_platform,0,0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0,1,0.5,0.5,0.5
